"UID","SITE_ID","UNIQUE_ID","DSGN_CYCLE","WGT_TP","LAT_DD83","LON_DD83","LAT_ANALYS","LON_ANALYS","XCOORD","YCOORD","AG_ECO3","AG_ECO9","COAST_REG","EPA_REG","FED_NONFED","HYD_CLS","MAJ_BAS_NM","MISS_BASIN","NEP_NAT","NWCA_ECO4","NWCA_ECO5","OWN_NARS","PNWCA_ECO4","PNWCA_ECO5","PNWCA_WETCLS_GRP","PNWCA_RPT_UNIT","PSTL_CODE","RPTGRP_10","RPTGRP_12","RPT_UNIT","RPT_UNIT_5","RPT_UNIT_6","RPT_UNIT20","WETCLS_EVL","WETCLS_GRP","WETCLS_HGM","WETCLS_HGM2","WETCLS_ALT","NWCA_ECO4_HYD","NWCA_ECO5_HYD","VISIT_NO","MICX_DETECT","MICX_EPA_COND","NTL_COND","PTL_COND","STRESS_HEAVYMETAL","STRESS_NONNATIVE","STRESS_PALT_SUM","STRESS_SOHARD","STRESS_SOMODF","STRESS_VEGREP","STRESS_VEGRMV","STRESS_WADSUB","STRESS_WOBSTR","VEGCOND_2016","SW_SAMPLEABLE","CHEM_NOT_COLLECTED","MICX_NOT_COLLECTED","WCHL_NOT_COLLECTED"
197250,"NWCA16-3153","NWC_MS-10066",2016,"245581.823597165","32.3467752222191","-90.081717439786","32.34701","-90.08201","553804.800545942","-559105.992229302","PLNLOW","CPL","Not Coast","Region_04","Non-Federal","INLAND","South Atlantic Gulf Region","MISSISSIPPI_BASIN","Not_NEP","CPL","CPL","Non-Federal","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","MS","CPL-PRLW","CPL-PRLW","ICP","ICP","ICP","ICP-W","PFO","PRLW","RIVERINE","RIVERINE","HGM_NOT_ALTERED","CPL-INLAND","CPL-INLAND","1","Not Detected","At or Below Benchmark","Fair","Poor","Low","High","High","Moderate","Low","High","Low","Moderate","Low","Poor","Y",NA,NA,NA
197290,"NWCA16-1001","NWC_AL-10003",2016,"91437.3705029027","30.3843401754811","-88.1141366198675","30.38434","-88.11414","755652.721749758","-763372.523760057","PLNLOW","CPL","Gulf Coast Region","Region_04","Non-Federal","INLAND","South Atlantic Gulf Region","NOT_MISSISSIPPI_BASIN","NEP","CPL","CPL","Non-Federal","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","AL","CPL-PRLW","CPL-PRLW","ICP","ICP","ICP","ICP-W","PFO","PRLW","TIDAL","TIDAL_ALT","HGM_ALTERED","CPL-INLAND","CPL-INLAND","1","Not Detected","At or Below Benchmark","Good","Poor","Low","Moderate","High","Moderate","Low","Moderate","Moderate","High","Moderate","Good","Y",NA,NA,NA
197310,"NWCA16-6024","NWC_KY-10058",2016,"22677.0880729608","37.5355210665805","-86.543849782927","37.53535","-86.5438","826323.113943066","45125.9023655206","PLNLOW","TPL","Not Coast","Region_04","Non-Federal","INLAND","Ohio-Tennessee Region","MISSISSIPPI_BASIN","Not_NEP","IPL","IPL","Non-Federal","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","KY","IPL-PRLW","IPL-PRLW","TPL","PLN","PLN","TPL-W","PFO","PRLW","RIVERINE","RIVERINE","HGM_NOT_ALTERED","IPL-INLAND","IPL-INLAND","1","Not Detected","At or Below Benchmark","Good","Poor","Low","Moderate","High","Moderate","Moderate","Moderate","Moderate","Moderate","Low","Fair","Y",NA,NA,NA
197320,"NWCA16-3142","NWC_MS-10027",2016,"608585.19170949","33.6718009607994","-88.4236525613719","33.6718","-88.42365","696889.285257113","-400687.075833972","PLNLOW","CPL","Not Coast","Region_04","Non-Federal","INLAND","South Atlantic Gulf Region","NOT_MISSISSIPPI_BASIN","Not_NEP","CPL","CPL","State","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","MS","CPL-PRLW","CPL-PRLW","ICP","ICP","ICP","ICP-W","PFO","PRLW","RIVERINE","RIVERINE","HGM_NOT_ALTERED","CPL-INLAND","CPL-INLAND","1","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Low","Low","Moderate","Low","Low","Low","Low","Moderate","Moderate","Fair",NA,"Y","Y","Y"
197350,"NWCA16-2010","NWC_GA-10075",2016,"48054.0551011536","32.6061514273906","-81.6825065157795","32.60611","-81.68243","1331222.71582271","-446963.456343179","PLNLOW","CPL","South East Coast Region","Region_04","Non-Federal","INLAND","South Atlantic Gulf Region","NOT_MISSISSIPPI_BASIN","Not_NEP","CPL","CPL","Non-Federal","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","GA","CPL-PRLW","CPL-PRLW","ICP","ICP","ICP","ICP-W","PSS","PRLW","RIVERINE","RIVERINE","HGM_NOT_ALTERED","CPL-INLAND","CPL-INLAND","1","Not Detected","At or Below Benchmark","Good","Good","Low","High","High","Moderate","Low","Moderate","Low","Moderate","Moderate","Poor","Y",NA,NA,NA
197351,"NWCA16-3147","NWC_MS-10060",2016,"136.480825761364","30.3723510338186","-88.8346343390808","30.37185","-88.83449","686849.736537519","-770168.139431288","PLNLOW","CPL","Gulf Coast Region","Region_04","Non-Federal","TIDAL","South Atlantic Gulf Region","NOT_MISSISSIPPI_BASIN","Not_NEP","CPL","CPL","State","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","MS","ALL-EH","ALL-EH","GFC","TDL","TDL","GFC-H","E2EM","EH","TIDAL","TIDAL","HGM_NOT_ALTERED","CPL-TIDAL","CPL-TIDAL","1","Not Detected","At or Below Benchmark","Good","Good","Low","Moderate","Moderate","Low","Low","Low","Moderate","Low","Low","Fair","Y",NA,NA,NA
197380,"NWCA16-3161","NWC_MS-10074",2016,"245581.823597165","33.2992788268659","-88.8163065488706","33.29928","-88.81631","663984.693337601","-444976.91733171","PLNLOW","CPL","Not Coast","Region_04","Federal","INLAND","South Atlantic Gulf Region","NOT_MISSISSIPPI_BASIN","Not_NEP","CPL","CPL","FWS","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","MS","CPL-PRLW","CPL-PRLW","ICP","ICP","ICP","ICP-W","PFO","PRLW","RIVERINE","RIVERINE_ALT","HGM_ALTERED","CPL-INLAND","CPL-INLAND","1","Not Detected","At or Below Benchmark","Good","Fair","Low","Low","Moderate","Low","Moderate","Low","Low","Low","Low","Fair","Y",NA,NA,NA
197390,"NWCA16-6032","NWC_KY-10066",2016,"7562.95433545384","37.4310953624894","-86.7845455912201","37.43123","-86.78465","806489.875762595","31411.6333313044","PLNLOW","TPL","Not Coast","Region_04","Non-Federal","INLAND","Ohio-Tennessee Region","MISSISSIPPI_BASIN","Not_NEP","IPL","IPL","Non-Federal","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","KY","IPL-PRLW","IPL-PRLW","TPL","PLN","PLN","TPL-W","PFO","PRLW","DEPRESSION","DEPRESSION_ALT","HGM_ALTERED","IPL-INLAND","IPL-INLAND","1","Detected","At or Below Benchmark","Good","Good","Low","Moderate","High","Moderate","Moderate","Low","Low","Moderate","Moderate","Fair","Y",NA,NA,NA
197410,"NWCA16-3139","NWC_MS-10002",2016,"595.810345805826","30.4190292558459","-88.5612958621967","30.41948","-88.56152","712593.170486804","-762986.405618106","PLNLOW","CPL","Gulf Coast Region","Region_04","Non-Federal","TIDAL","South Atlantic Gulf Region","NOT_MISSISSIPPI_BASIN","Not_NEP","CPL","CPL","Non-Federal","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","MS","ALL-EH","ALL-EH","GFC","TDL","TDL","GFC-H","E2EM","EH","TIDAL","TIDAL","HGM_NOT_ALTERED","CPL-TIDAL","CPL-TIDAL","1","Not Detected","At or Below Benchmark","Poor","Good","Low","Low","Moderate","Moderate","Moderate","Low","Low","Low","Low","Poor","Y",NA,NA,NA
197460,"NWCA16-1020","NWC_AL-10060",2016,"322283.209649054","33.6443600683512","-88.2479723218918","33.64436","-88.24797","713263.064814357","-402439.063227822","PLNLOW","CPL","Not Coast","Region_04","Non-Federal","INLAND","South Atlantic Gulf Region","NOT_MISSISSIPPI_BASIN","Not_NEP","CPL","CPL","Non-Federal","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","AL","CPL-PRLW","CPL-PRLW","ICP","ICP","ICP","ICP-W","PFO","PRLW","RIVERINE","RIVERINE","HGM_NOT_ALTERED","CPL-INLAND","CPL-INLAND","1","Not Detected","At or Below Benchmark","Good","Good","Low","Low","High","Moderate","Moderate","Low","Moderate","High","Moderate","Fair","Y",NA,NA,NA
197490,"NWCA16-2026","NWC_GA-10091",2016,"28241.0372965744","32.3249217750366","-81.540585566864","32.3241","-81.54","1349069.80775619","-475962.47444784","PLNLOW","CPL","South East Coast Region","Region_04","Non-Federal","INLAND","South Atlantic Gulf Region","NOT_MISSISSIPPI_BASIN","Not_NEP","CPL","CPL","Non-Federal","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","GA","CPL-PRLW","CPL-PRLW","ICP","ICP","ICP","ICP-W","PFO","PRLW","RIVERINE","RIVERINE","HGM_NOT_ALTERED","CPL-INLAND","CPL-INLAND","1","Not Detected","At or Below Benchmark","Poor","Fair","Low","Low","High","Moderate","Low","Low","Low","Moderate","Moderate","Good","Y",NA,NA,NA
197510,"NWCA16-1005","NWC_AL-10015",2016,"1115857.55110308","30.947911068071","-87.8957530801844","30.94792","-87.89574","771194.451697301","-699209.289909602","PLNLOW","CPL","Gulf Coast Region","Region_04","Non-Federal","INLAND","South Atlantic Gulf Region","NOT_MISSISSIPPI_BASIN","NEP","CPL","CPL","State","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","AL","CPL-PRLW","CPL-PRLW","ICP","ICP","ICP","ICP-W","PFO","PRLW","RIVERINE","RIVERINE","HGM_NOT_ALTERED","CPL-INLAND","CPL-INLAND","1","Not Detected","At or Below Benchmark","Good","Good","Low","Moderate","Moderate","Low","Moderate","Low","Low","Low","Low","Poor","Y",NA,NA,NA
197520,"NWCA16-1016","NWC_AL-10056",2016,"37632.606019432","30.7834273778625","-87.976944328344","30.78348","-87.97697","765028.819414229","-718086.60682083","PLNLOW","CPL","Gulf Coast Region","Region_04","Federal","INLAND","South Atlantic Gulf Region","NOT_MISSISSIPPI_BASIN","NEP","CPL","CPL","Other Fed","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","AL","CPL-PRLW","CPL-PRLW","ICP","ICP","ICP","ICP-W","PSS","PRLW","RIVERINE","RIVERINE","HGM_NOT_ALTERED","CPL-INLAND","CPL-INLAND","1","Detected","At or Below Benchmark","Fair","Good","Low","High","Low","Low","Low","Low","Low","Low","Low","Poor","Y",NA,NA,NA
197550,"NWCA16-3145","NWC_MS-10058",2016,"53094.8050396651","33.6757155356159","-88.4215667161163","33.676308","-88.421404","697045.903646471","-400235.869069899","PLNLOW","CPL","Not Coast","Region_04","Non-Federal","INLAND","South Atlantic Gulf Region","NOT_MISSISSIPPI_BASIN","Not_NEP","CPL","CPL","State","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","MS","CPL-PRLW","CPL-PRLW","ICP","ICP","ICP","ICP-W","PFO","PRLW","RIVERINE","RIVERINE","HGM_NOT_ALTERED","CPL-INLAND","CPL-INLAND","1","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Low","Low","Moderate","Moderate","Low","Low","Moderate","Low","Low","Fair",NA,"Y","Y","Y"
197580,"NWCA16-1079","NWC_AR-10001",2016,"634078.628190838","33.1876830098017","-92.728345742148","33.18762","-92.72879","303054.360688916","-477326.441530582","PLNLOW","CPL","Not Coast","Region_06","Non-Federal","INLAND","Lower Mississippi Region","MISSISSIPPI_BASIN","Not_NEP","CPL","CPL","Non-Federal","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","AR","CPL-PRLH","CPL-PRLH","ICP","ICP","ICP","ICP-H","PEM","PRLH","RIVERINE","RIVERINE","HGM_NOT_ALTERED","CPL-INLAND","CPL-INLAND","1","Not Detected","At or Below Benchmark","Poor","Poor","Low","Moderate","High","Moderate","Low","High","High","Moderate","Low","Poor","Y",NA,NA,NA
197590,"NWCA16-1087","NWC_AR-10062",2016,"156378.258335676","33.4529848855822","-91.4812787373887","33.45341","-91.48161","417087.546834057","-443003.30839407","PLNLOW","CPL","Not Coast","Region_06","Non-Federal","INLAND","Lower Mississippi Region","MISSISSIPPI_BASIN","Not_NEP","CPL","CPL","Non-Federal","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","AR","CPL-PRLW","CPL-PRLW","ICP","ICP","ICP","ICP-W","PSS","PRLW","RIVERINE","RIVERINE","HGM_NOT_ALTERED","CPL-INLAND","CPL-INLAND","1","Not Detected","At or Below Benchmark","Fair","Poor","Low","Moderate","Moderate","Low","Low","Low","Low","Low","Moderate","Poor","Y",NA,NA,NA
197610,"NWCA16-4855","NWC_WA-10008",2016,"2336.61151482119","48.393296767516","-122.484172183035","48.393061","-122.484591","-1955185.09250231","1488930.00373349","WMTNS","WMT","Pacific Coast Region","Region_10","Non-Federal","INLAND","Pacific Northwest Region","NOT_MISSISSIPPI_BASIN","NEP","W","WMT","Non-Federal","W","WMT","PRLH","WVM","WA","W-PRLH","WMT-PRLH","WVM","WST","WVM","WVM-H","PEM","PRLH","TIDAL","TIDAL_ALT","HGM_ALTERED","W-INLAND","WMT-INLAND","1","Not Detected","At or Below Benchmark","Good","Poor","Moderate","Moderate","High","Moderate","Low","Low","Moderate","Moderate","Moderate","Poor","Y",NA,NA,NA
197650,"NWCA16-6043","NWC_KY-10077",2016,"33800.0082326051","37.2281010144252","-87.0458814323473","37.228","-87.046","785827.995209377","6577.78529989626","PLNLOW","TPL","Not Coast","Region_04","Non-Federal","INLAND","Ohio-Tennessee Region","MISSISSIPPI_BASIN","Not_NEP","IPL","IPL","State","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","KY","IPL-PRLW","IPL-PRLW","TPL","PLN","PLN","TPL-W","PFO","PRLW","LACUSTRINE","LACUSTRINE_ALT","HGM_ALTERED","IPL-INLAND","IPL-INLAND","1","Not Detected","At or Below Benchmark","Fair","Fair","Low","Very High","High","Moderate","High","Low","Low","Low","Moderate","Poor","Y",NA,NA,NA
197660,"NWCA16-6010","NWC_KY-10044",2016,"43736.6135287514","37.4789506050728","-84.4969593948098","37.47895","-84.49696","1005159.43552904","58548.8084853226","EHIGH","SAP","Not Coast","Region_04","Non-Federal","INLAND","Ohio-Tennessee Region","MISSISSIPPI_BASIN","Not_NEP","EMU","EMU","State","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","KY","EMU-PRLW","EMU-PRLW","SAP","EMU","EMU","SAP-W","PFO","PRLW","FLATS","FLATS","HGM_NOT_ALTERED","EMU-INLAND","EMU-INLAND","1","Not Detected","At or Below Benchmark","Good","Good","Low","Moderate","Moderate","Low","Low","Low","Low","Moderate","Low","Poor","Y",NA,NA,NA
197670,"NWCA16-3160","NWC_MS-10073",2016,"245581.823597165","30.9689786078106","-88.7430365932001","30.96901","-88.74304","690554.787197394","-703390.508358345","PLNLOW","CPL","Gulf Coast Region","Region_04","Non-Federal","INLAND","South Atlantic Gulf Region","NOT_MISSISSIPPI_BASIN","Not_NEP","CPL","CPL","NGO","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","MS","CPL-PRLW","CPL-PRLW","ICP","ICP","ICP","ICP-W","PFO","PRLW","RIVERINE","RIVERINE","HGM_NOT_ALTERED","CPL-INLAND","CPL-INLAND","1","Not Detected","At or Below Benchmark","Good","Fair","Low","Low","Low","Low","Low","Low","Low","Low","Low","Fair","Y",NA,NA,NA
197681,"NWCA16-4858","NWC_WA-10058",2016,"8824.86225839242","48.4647182437172","-122.549250649594","48.46473","-122.549223","-1957695.78884558","1497828.68127614","WMTNS","WMT","Pacific Coast Region","Region_10","Non-Federal","INLAND","Pacific Northwest Region","NOT_MISSISSIPPI_BASIN","NEP","W","WMT","Non-Federal","W","WMT","PRLW","WVM","WA","W-PRLW","WMT-PRLW","WVM","WST","WVM","WVM-W","PFO","PRLW","FLATS","FLATS","HGM_NOT_ALTERED","W-INLAND","WMT-INLAND","1","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Low","High","Moderate","Moderate","Low","Moderate","Moderate","Moderate","Moderate","Poor",NA,"Y","Y","Y"
197690,"NWCA16-1078","NWC_AR-10005",2016,"682020.42372173","33.6779329163581","-92.5849141260373","33.67793","-92.58491","314367.906432636","-422146.778293035","PLNLOW","CPL","Not Coast","Region_06","Non-Federal","INLAND","Lower Mississippi Region","MISSISSIPPI_BASIN","Not_NEP","CPL","CPL","Non-Federal","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","AR","CPL-PRLW","CPL-PRLW","ICP","ICP","ICP","ICP-W","PFO","PRLW","FLATS","FLATS","HGM_NOT_ALTERED","CPL-INLAND","CPL-INLAND","1","Not Detected","At or Below Benchmark","Fair","Good","Low","Low","High","Low","Low","High","Low","Low","Moderate","Fair","Y",NA,NA,NA
197720,"NWCA16-1705","NWC_FL-10072",2016,"1521451.85428639","29.661140072054","-81.7657987312155","29.66114","-81.765799","1372416.77951265","-772027.082090543","PLNLOW","CPL","South East Coast Region","Region_04","Non-Federal","INLAND","South Atlantic Gulf Region","NOT_MISSISSIPPI_BASIN","Not_NEP","CPL","CPL","Regional","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","FL","CPL-PRLW","CPL-PRLW","ICP","ICP","ICP","ICP-W","PFO","PRLW","FLATS","FLATS","HGM_NOT_ALTERED","CPL-INLAND","CPL-INLAND","1","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Low","Low","High","Low","Low","Low","Low","Moderate","Moderate","Good",NA,"Y","Y","Y"
197730,"NWCA16-1083","NWC_AR-10058",2016,"212408.883057248","33.3604575254972","-92.9728267231592","33.36047","-92.97305","279801.627642631","-458796.876170662","PLNLOW","CPL","Not Coast","Region_06","Non-Federal","INLAND","Lower Mississippi Region","MISSISSIPPI_BASIN","Not_NEP","CPL","CPL","Non-Federal","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","AR","CPL-PRLW","CPL-PRLW","ICP","ICP","ICP","ICP-W","PFO","PRLW","RIVERINE","RIVERINE","HGM_NOT_ALTERED","CPL-INLAND","CPL-INLAND","1","Not Detected","At or Below Benchmark","Good","Fair","Low","Low","Moderate","Low","Low","Low","Moderate","Moderate","Low","Fair","Y",NA,NA,NA
